"dt","modelloop","model","n","av","sex","ind"
"09292022 232429",81,"upd",300,0.00333333333333333,0,0.04
"09292022 232123",82,"av",300,0.00333333333333333,0.00333333333333333,0.00666666666666667
"09292022 232226",82,"ind",300,0,0.01,0.363333333333333
"09292022 232328",82,"sex",300,0,0.00333333333333333,0.00666666666666667
"09292022 232430",82,"upd",300,0,0.00333333333333333,0.0533333333333333
"09292022 232125",83,"av",300,0,0.00333333333333333,0
"09292022 232227",83,"ind",300,0,0,0.41
"09292022 232329",83,"sex",300,0,0,0.00666666666666667
"09292022 232431",83,"upd",300,0,0.00333333333333333,0.0433333333333333
"09292022 232126",84,"av",300,0.00666666666666667,0,0.00666666666666667
"09292022 232228",84,"ind",300,0.00333333333333333,0.01,0.393333333333333
"09292022 232330",84,"sex",300,0,0,0
"09292022 232432",84,"upd",300,0.00333333333333333,0,0.0833333333333333
"09292022 232126",85,"av",300,0,0,0.00333333333333333
"09292022 232228",85,"ind",300,0.00333333333333333,0,0.453333333333333
"09292022 232330",85,"sex",300,0.00333333333333333,0,0.00333333333333333
"09292022 232432",85,"upd",300,0.00333333333333333,0,0.0533333333333333
"09292022 232127",86,"av",300,0.00333333333333333,0,0.00333333333333333
"09292022 232229",86,"ind",300,0.00333333333333333,0,0.403333333333333
"09292022 232331",86,"sex",300,0.00333333333333333,0,0.00666666666666667
"09292022 232433",86,"upd",300,0.00333333333333333,0.00666666666666667,0.0666666666666667
"09292022 232128",87,"av",300,0,0,0
"09292022 232230",87,"ind",300,0.00333333333333333,0.01,0.433333333333333
"09292022 232332",87,"sex",300,0.00333333333333333,0.00666666666666667,0
"09292022 232434",87,"upd",300,0,0.00333333333333333,0.0666666666666667
"09292022 232132",88,"av",300,0.01,0.00333333333333333,0.01
"09292022 232235",88,"ind",300,0,0,0.4
"09292022 232338",88,"sex",300,0.00333333333333333,0.01,0.00333333333333333
"09292022 232439",88,"upd",300,0.00333333333333333,0.01,0.0633333333333333
"09292022 232133",89,"av",300,0.00333333333333333,0.00666666666666667,0.00666666666666667
"09292022 232236",89,"ind",300,0,0,0.35
"09292022 232339",89,"sex",300,0.00333333333333333,0.00333333333333333,0
"09292022 232440",89,"upd",300,0.00666666666666667,0,0.0533333333333333
"09292022 232134",90,"av",300,0,0,0.00333333333333333
"09292022 232238",90,"ind",300,0,0,0.466666666666667
"09292022 232340",90,"sex",300,0,0,0.00333333333333333
"09292022 232441",90,"upd",300,0.00333333333333333,0,0.0666666666666667
"09292022 232135",91,"av",300,0,0.00333333333333333,0.00333333333333333
"09292022 232238",91,"ind",300,0.00333333333333333,0.00333333333333333,0.363333333333333
"09292022 232341",91,"sex",300,0.00333333333333333,0,0.00666666666666667
"09292022 232441",91,"upd",300,0,0.00333333333333333,0.04
"09292022 232135",92,"av",300,0.00666666666666667,0.00333333333333333,0
"09292022 232238",92,"ind",300,0.00333333333333333,0.00666666666666667,0.366666666666667
"09292022 232340",92,"sex",300,0,0,0
"09292022 232441",92,"upd",300,0,0.00666666666666667,0.0733333333333333
"09292022 232135",93,"av",300,0.00666666666666667,0,0.00666666666666667
"09292022 232238",93,"ind",300,0.00333333333333333,0.00333333333333333,0.443333333333333
"09292022 232340",93,"sex",300,0.00333333333333333,0,0
"09292022 232441",93,"upd",300,0.00333333333333333,0,0.0866666666666667
"09292022 232135",94,"av",300,0,0.00333333333333333,0
"09292022 232238",94,"ind",300,0,0.00333333333333333,0.426666666666667
"09292022 232340",94,"sex",300,0.00333333333333333,0,0
"09292022 232441",94,"upd",300,0.00333333333333333,0,0.09
"09292022 232135",95,"av",300,0,0.00333333333333333,0
"09292022 232238",95,"ind",300,0.00333333333333333,0,0.406666666666667
"09292022 232340",95,"sex",300,0.00333333333333333,0,0
"09292022 232440",95,"upd",300,0,0,0.0566666666666667
